no.,ticketId,name,message
1,370461,Bookaway,"Hi, I have received many emails from different delays in the trips I have. Can you please re confirm to me properly the new time slots for the six people we have. Originally we have booked the following: Aug 5th: 9.30 AM Padang-Gili Aug 10th: 12PM-Gili -Padang I don’t accept any delay of August 5th as I will loose the entire day so if that is the case please explain if there is an alternative to take an 8.30 am slot for the six people, Thank you for attentiveness and fast solution towards the inexplicable mess you are creating, Best regards Magdalena Blanco"
2,202170034,Tipalti,"Hi there, We currently using Tipalti and have a USD account. We have payees need to be paid in GBP and Euro. Wondering if we could have multiple accounts with different currencies. We would like to pay these payees from our GPB account and Euro account directly, instead of USD with exchange rate. Thank you for letting us know. Sherri"
3,202444804,Tipalti,"Hi Tipalti!
I'm attaching a credit card statement as proof of address.
Let me know if this is okay, and if there's anything else needed from me.
--
Thank you,
Jeffrey Sandoval"
4,23787,Pento,"Hi Rachel, Aoibhinn,
I hope you're both well.
I can see that you have confirmed your October payroll, we will now generate the BACS file for you.
The total net pay is ¬£267,000.42 with a pay date of 27/10/2023.
Can you confirm you are happy with the above? We will then get this sent.
Thanks!
Tyler Carridge Payroll Specialist at"
5,370690,Bookaway,Still havent received the ticket after 24 hours
6,202405431,Tipalti,"Hello,
We have the following warning in our sync log. Can you please advise what this means and if we need to take action?
--
Sarah Edwards
Accounts Payable (Remote)"
7,382651,Bookaway,The boat was canceled. So I need my money back from the tickets
8,202418474,Tipalti,"Dear Tipalti team, Would you please transfer $390,000.00 from AIRMediaTech USD 1 to Rest & Vest LLC USD balance? Thank you. Kind regards, Liliia Bezpalaya"
9,382650,Bookaway,Voucher received too late. I was not on their system and your voucher did not arrive. They did not accept your booking reference. They made me buy another ticket. Please refund my purchase! Your confirmation email stated I needed to be there at least 30 minutes before;
10,202418473,Tipalti,"Hello, please change the company name and address in Invoice 514231 from swarmbyte Inc. to Honeygain UAB address (Antakalnio g. 17, LT-10312 Vilnius) and please add our VAT number LT100015512212."
11,382649,Bookaway,Good Morning This passenger didn't appear to the crossing. The phone doesn't receive calls and whatsapp
12,202417914,Tipalti,"Hi, Can you please contact the payee in ticket 202390897 and ask them to confirm their address."
